,PM2.5,PM10,NO2,CO,O3,SO2,temperature,pressure,humidity,wind_direction,wind_speed/kph
2017-01-01 14:00:00,453.0,467.0,156.0,7.2,3.0,9.0,28.0,114.44000000000005,49.13,322.85,5.59
2017-01-01 15:00:00,417.0,443.0,143.0,6.8,2.0,8.0,28.31,114.69000000000005,46.57,327.35,8.39
2017-01-01 16:00:00,395.0,467.0,141.0,6.9,3.0,8.0,28.41,114.86000000000001,45.46,328.39,10.09
2017-01-01 17:00:00,420.0,484.0,139.0,7.4,3.0,9.0,28.51,115.01999999999998,44.35,329.12,11.8
2017-01-01 18:00:00,453.0,520.0,157.0,7.6,4.0,9.0,28.61,115.19000000000005,43.25,329.68,13.5
2017-01-01 19:00:00,429.0,476.0,141.0,6.5,3.0,9.0,28.29,115.41999999999996,43.9,330.61,13.22
2017-01-01 20:00:00,211.0,218.0,110.0,3.2999999523162837,13.0,11.0,27.96,115.65999999999997,44.55,331.58,12.95
2017-01-01 21:00:00,116.0,136.0,87.0,2.200000047683716,4.0,13.0,27.64,115.88999999999999,45.2,332.6,12.68
2017-01-01 22:00:00,51.0,81.0,58.0,1.2999999523162842,26.0,14.0,27.38,116.29999999999995,45.0,331.97,11.83
2017-01-01 23:00:00,38.0,79.0,55.0,1.100000023841858,28.0,14.0,27.12,116.71000000000004,44.79,331.25,10.98
2017-01-02 00:00:00,21.0,33.0,40.0,0.699999988079071,42.0,16.0,26.87,117.12,44.59,330.4,10.13
2017-01-02 01:00:00,16.0,33.0,40.0,0.8000000119209291,44.0,18.0,29.15,117.29999999999995,38.12,330.91,8.9
2017-01-02 02:00:00,23.0,38.0,42.0,0.699999988079071,45.0,17.0,31.43,117.49000000000001,31.66,331.59,7.66
2017-01-02 03:00:00,18.0,47.0,30.0,0.6000000238418579,59.0,14.0,33.71,117.66999999999996,25.2,332.52,6.43
2017-01-02 04:00:00,58.0,247.0,76.0,2.4,46.0,12.0,34.55,117.13999999999999,24.05,332.05,2.6
2017-01-02 05:00:00,176.0,191.0,99.0,0.30000001192092896,42.0,17.0,35.4,116.61000000000001,22.9,154.52,1.24
2017-01-02 06:00:00,109.0,211.0,86.0,2.6,58.0,14.0,36.25,116.08000000000004,21.75,153.25,5.07
2017-01-02 07:00:00,267.0,287.0,125.0,4.199999809265137,53.0,19.0,34.19,115.86000000000001,28.44,163.05,6.1
