PRE	ACT
47	50
47	58
53	48
49	58
60	68
68	81
77	74
70	87
81	72
72	60
59	62
57	60
60	56
55	60
55	63
59	83
79	88
85	82
75	63
57	70
67	81
78	87
80	85
79	91
86	87
81	67
62	83
75	92
88	88
83	81
73	88
83	89
83	85
84	90
83	95
92	88
86	87
81	77
68	76
71	69
62	70
74	62
56	64
63	65
59	54
50	59
56	60
58	60
59	60
61	60
60	72
86	76
68	60
68	77
74	96
103	87
84	83
82	81
80	71
67	66
63	66
66	62
60	51
55	48
45	60
67	62
59	71
73	72
71	71
72	74
74	59
57	60
61	53
51	60
61	60
62	73
69	74
72	83
82	82
79	69
68	73
75	59
58	72
71	79
81	78
73	87
92	81
75	91
95	91
88	101
102	94
86	91
86	100
97	129
148	138
141	126
111	126
119	124
115	145
170	139
119	130
135	113
104	104
98	101
95	103
97	107
100	114
108	101
90	83
71	76
67	67
57	69
62	72
65	100
93	107
97	114
104	105
94	92
84	91
78	90
84	76
62	50
47	35
34	26
27	24
26	23
24	17
20	28
28	33
30	41
43	31
28	31
33	32
28	35
32	33
30	33
33	31
31	29
30	35
34	39
41	36
36	40
43	43
42	43
48	45
45	48
48	52
54	54
53	51
54	48
47	48
47	48
46	35
36	30
27	30
30	28
27	27
28	26
26	25
25	23
23	26
27	28
26	21
21	29
28	19
21	23
24	23
23	30
32	33
32	36
36	46
45	56
54	54
57	62
58	62
60	60
62	56
54	50
53	52
48	50
50	45
40	34
32	33
31	35
35	29
28	38
35	48
46	63
57	73
69	84
79	81
77	79
70	94
90	102
105	105
103	108
109	116
116	114
110	116
116	107
101	95
93	92
87	90
83	86
78	86
77	84
76	82
74	81
73	95
91	118
110	114
104	106
98	108
101	111
106	111
104	113
104	116
111	121
118	129
129	128
126	137
137	147
145	141
138	120
114	119
116	108
102	107
102	108
106	109
99	123
117	119
109	125
116	155
148	170
164	183
180	183
178	184
177	178
168	182
177	188
188	185
190	181
187	174
175	167
165	175
177	177
172	169
166	172
170	183
183	193
193	200
195	225
228	222
216	215
206	212
207	216
211	170
147	155
144	145
137	159
157	200
199	219
222	217
220	205
202	192
190	183
184	172
162	166
167	163
154	148
139	134
127	121
113	125
120	131
106	67
42	24
16	14
14	11
14	13
14	11
12	10
11	7
9	8
10	8
8	4
7	3
6	3
6	3
5	3
5	5
5	5
5	3
4	3
